,player_id,player_url,Player,From,To,Pos,Ht,Wt,Birth Date,College
3862,teaguje01,http://www.basketball-reference.com/players/t/teaguje01.html,Jeff Teague,2010,2017,G,6-2,186,"June 10, 1988",Wake Forest University
3863,teaguma01,http://www.basketball-reference.com/players/t/teaguma01.html,Marquis Teague,2013,2014,G,6-2,189,"February 28, 1993",University of Kentucky
3864,teletmi01,http://www.basketball-reference.com/players/t/teletmi01.html,Mirza Teletovic,2013,2017,F,6-9,242,"September 18, 1985",
3865,telfase01,http://www.basketball-reference.com/players/t/telfase01.html,Sebastian Telfair,2005,2015,G,6-0,165,"June 9, 1985",
3867,templga01,http://www.basketball-reference.com/players/t/templga01.html,Garrett Temple,2010,2017,G,6-6,195,"May 8, 1986",Louisiana State University
3872,terryja01,http://www.basketball-reference.com/players/t/terryja01.html,Jason Terry,2000,2017,G,6-2,185,"September 15, 1977",University of Arizona
3873,thabeha01,http://www.basketball-reference.com/players/t/thabeha01.html,Hasheem Thabeet,2010,2014,C,7-3,263,"February 16, 1987",University of Connecticut
3881,thomaad01,http://www.basketball-reference.com/players/t/thomaad01.html,Adonis Thomas,2014,2014,F,6-7,200,"March 25, 1993",University of Memphis
3882,thomabi01,http://www.basketball-reference.com/players/t/thomabi01.html,Billy Thomas,2005,2008,G,6-4,208,"December 23, 1975",University of Kansas
3885,thomaet01,http://www.basketball-reference.com/players/t/thomaet01.html,Etan Thomas,2002,2011,F,6-9,256,"April 1, 1978",Syracuse University
3887,thomais02,http://www.basketball-reference.com/players/t/thomais02.html,Isaiah Thomas,2012,2017,G,5-9,185,"February 7, 1989",University of Washington
3890,thomaja02,http://www.basketball-reference.com/players/t/thomaja02.html,James Thomas,2005,2006,F,6-8,235,"November 22, 1980",University of Texas at Austin
3893,thomajo02,http://www.basketball-reference.com/players/t/thomajo02.html,John Thomas,1998,2006,F,6-9,265,"September 8, 1975",University of Minnesota
3894,thomake01,http://www.basketball-reference.com/players/t/thomake01.html,Kenny Thomas,2000,2010,F,6-7,261,"July 25, 1977",University of New Mexico
3895,thomaku01,http://www.basketball-reference.com/players/t/thomaku01.html,Kurt Thomas,1996,2013,F,6-9,230,"October 4, 1972",Texas Christian University
3896,thomala01,http://www.basketball-reference.com/players/t/thomala01.html,Lance Thomas,2012,2017,F,6-8,235,"April 24, 1988",Duke University
3897,thomama01,http://www.basketball-reference.com/players/t/thomama01.html,Malcolm Thomas,2012,2015,F,6-9,225,"November 8, 1988",San Diego State University
3900,thomati01,http://www.basketball-reference.com/players/t/thomati01.html,Tim Thomas,1998,2010,F,6-10,230,"February 26, 1977",Villanova University
3901,thomaty01,http://www.basketball-reference.com/players/t/thomaty01.html,Tyrus Thomas,2007,2015,F,6-9,215,"August 17, 1986",Louisiana State University
3903,thomptr02,http://www.basketball-reference.com/players/t/thomptr02.html,Trey Thompkins,2012,2012,F,6-10,245,"May 20, 1990",University of Georgia
3909,thompdi01,http://www.basketball-reference.com/players/t/thompdi01.html,Dijon Thompson,2006,2007,G-F,6-7,195,"February 23, 1983","University of California, Los Angeles"
3911,thompho01,http://www.basketball-reference.com/players/t/thompho01.html,Hollis Thompson,2014,2017,G-F,6-8,206,"April 3, 1991",Georgetown University
3913,thompja02,http://www.basketball-reference.com/players/t/thompja02.html,Jason Thompson,2009,2016,F-C,6-11,250,"July 21, 1986",Rider University
3916,thompkl01,http://www.basketball-reference.com/players/t/thompkl01.html,Klay Thompson,2012,2017,G,6-7,215,"February 8, 1990",Washington State University
3919,thompmy02,http://www.basketball-reference.com/players/t/thompmy02.html,Mychel Thompson,2012,2012,G,6-6,211,"June 1, 1988",Pepperdine University
3922,thomptr01,http://www.basketball-reference.com/players/t/thomptr01.html,Tristan Thompson,2012,2017,F-C,6-9,238,"March 13, 1991",University of Texas at Austin
3925,thornal01,http://www.basketball-reference.com/players/t/thornal01.html,Al Thornton,2008,2011,F,6-8,220,"December 7, 1983",Florida State University
3928,thornma01,http://www.basketball-reference.com/players/t/thornma01.html,Marcus Thornton,2010,2017,G,6-4,205,"June 5, 1987",Louisiana State University
3938,tinslja01,http://www.basketball-reference.com/players/t/tinslja01.html,Jamaal Tinsley,2002,2014,G,6-3,195,"February 28, 1978",Iowa State University
3944,tollian01,http://www.basketball-reference.com/players/t/tollian01.html,Anthony Tolliver,2009,2017,F-C,6-8,240,"June 1, 1985",Creighton University
3975,tsakaja01,http://www.basketball-reference.com/players/t/tsakaja01.html,Jake Tsakalidis,2001,2007,C,7-2,285,"June 10, 1979",
3978,tskitni01,http://www.basketball-reference.com/players/t/tskitni01.html,Nikoloz Tskitishvili,2003,2006,F,7-0,225,"April 14, 1983",
3980,tuckeal02,http://www.basketball-reference.com/players/t/tuckeal02.html,Alando Tucker,2008,2010,F,6-6,205,"February 11, 1984",University of Wisconsin
3983,tuckepj01,http://www.basketball-reference.com/players/t/tuckepj01.html,P.J. Tucker,2007,2017,F,6-6,245,"May 5, 1985",University of Texas at Austin
3985,turiaro01,http://www.basketball-reference.com/players/t/turiaro01.html,Ronny Turiaf,2006,2015,F,6-10,249,"January 13, 1983",Gonzaga University
3987,turkohe01,http://www.basketball-reference.com/players/t/turkohe01.html,Hedo Turkoglu,2001,2015,F,6-10,220,"March 19, 1979",
3991,turneev01,http://www.basketball-reference.com/players/t/turneev01.html,Evan Turner,2011,2017,G,6-7,220,"October 27, 1988",Ohio State University
4005,tylerje01,http://www.basketball-reference.com/players/t/tylerje01.html,Jeremy Tyler,2012,2014,C,6-10,260,"June 21, 1991",
4008,ubileed01,http://www.basketball-reference.com/players/u/ubileed01.html,Edwin Ubiles,2012,2012,G,6-6,204,"November 26, 1986",Siena College
4009,udohek01,http://www.basketball-reference.com/players/u/udohek01.html,Ekpe Udoh,2011,2015,C-F,6-10,240,"May 20, 1987",Baylor University
4010,udokaim01,http://www.basketball-reference.com/players/u/udokaim01.html,Ime Udoka,2004,2011,F,6-6,215,"August 9, 1977",Portland State University
4011,udrihbe01,http://www.basketball-reference.com/players/u/udrihbe01.html,Beno Udrih,2005,2017,G,6-3,205,"July 5, 1982",
4012,ukicro01,http://www.basketball-reference.com/players/u/ukicro01.html,Roko Ukic,2009,2010,G,6-5,183,"May 12, 1984",
4017,uzohbe01,http://www.basketball-reference.com/players/u/uzohbe01.html,Ben Uzoh,2011,2012,G,6-3,205,"March 19, 1988",University of Tulsa
4019,valanjo01,http://www.basketball-reference.com/players/v/valanjo01.html,Jonas Valanciunas,2013,2017,C,7-0,265,"May 6, 1992",
4028,vanexni01,http://www.basketball-reference.com/players/v/vanexni01.html,Nick Van Exel,1994,2006,G,6-1,170,"November 27, 1971",University of Cincinnati
4029,vanhoke01,http://www.basketball-reference.com/players/v/vanhoke01.html,Keith Van Horn,1998,2006,F,6-10,220,"October 23, 1975",University of Utah
4040,varejan01,http://www.basketball-reference.com/players/v/varejan01.html,Anderson Varejao,2005,2017,F-C,6-10,273,"September 28, 1982",
4041,varnaja01,http://www.basketball-reference.com/players/v/varnaja01.html,Jarvis Varnado,2013,2014,F,6-9,230,"March 1, 1988",Mississippi State University
4042,vasqugr01,http://www.basketball-reference.com/players/v/vasqugr01.html,Greivis Vasquez,2011,2017,G,6-6,217,"January 16, 1987",University of Maryland
4046,vaughja01,http://www.basketball-reference.com/players/v/vaughja01.html,Jacque Vaughn,1998,2009,G,6-1,190,"February 11, 1975",University of Kansas
4052,veselja01,http://www.basketball-reference.com/players/v/veselja01.html,Jan Vesely,2012,2014,F,6-11,240,"April 24, 1990",
4055,villach01,http://www.basketball-reference.com/players/v/villach01.html,Charlie Villanueva,2006,2016,F,6-11,232,"August 24, 1984",University of Connecticut
4058,vincima01,http://www.basketball-reference.com/players/v/vincima01.html,Marcus Vinicius,2007,2008,F,6-8,225,"May 31, 1984",
4065,vonleno01,http://www.basketball-reference.com/players/v/vonleno01.html,Noah Vonleh,2015,2017,F,6-10,240,"August 24, 1995",Indiana University
4066,voskuja01,http://www.basketball-reference.com/players/v/voskuja01.html,Jake Voskuhl,2001,2009,C,6-11,245,"November 1, 1977",University of Connecticut
4071,vromaja01,http://www.basketball-reference.com/players/v/vromaja01.html,Jackson Vroman,2005,2006,F-C,6-10,220,"June 6, 1981",Iowa State University
4072,vucevni01,http://www.basketball-reference.com/players/v/vucevni01.html,Nikola Vucevic,2012,2017,C,7-0,260,"October 24, 1990",University of Southern California
4073,vujacsa01,http://www.basketball-reference.com/players/v/vujacsa01.html,Sasha Vujacic,2005,2017,G,6-7,195,"March 8, 1984",
4074,wadedw01,http://www.basketball-reference.com/players/w/wadedw01.html,Dwyane Wade,2004,2017,G,6-4,220,"January 17, 1982",Marquette University
4076,wafervo01,http://www.basketball-reference.com/players/w/wafervo01.html,Von Wafer,2006,2012,G,6-5,210,"July 21, 1985",Florida State University
4078,wagneda02,http://www.basketball-reference.com/players/w/wagneda02.html,Dajuan Wagner,2003,2007,G,6-2,200,"February 4, 1983",University of Memphis
4082,waitedi01,http://www.basketball-reference.com/players/w/waitedi01.html,Dion Waiters,2013,2017,G,6-4,225,"December 10, 1991",Syracuse University
4087,walkean02,http://www.basketball-reference.com/players/w/walkean02.html,Antoine Walker,1997,2008,F,6-8,224,"August 12, 1976",University of Kentucky
4092,walkebi01,http://www.basketball-reference.com/players/w/walkebi01.html,Henry Walker,2009,2015,F,6-6,220,"October 9, 1987",Kansas State University
4095,walkeke02,http://www.basketball-reference.com/players/w/walkeke02.html,Kemba Walker,2012,2017,G,6-1,172,"May 8, 1990",University of Connecticut
4098,walkesa01,http://www.basketball-reference.com/players/w/walkesa01.html,Samaki Walker,1997,2006,F,6-9,240,"February 25, 1976",University of Louisville
4100,walljo01,http://www.basketball-reference.com/players/w/walljo01.html,John Wall,2011,2017,G,6-4,195,"September 6, 1990",University of Kentucky
4101,wallabe01,http://www.basketball-reference.com/players/w/wallabe01.html,Ben Wallace,1997,2012,F-C,6-9,240,"September 10, 1974",Virginia Union University
4102,wallage01,http://www.basketball-reference.com/players/w/wallage01.html,Gerald Wallace,2002,2015,F,6-7,215,"July 23, 1982",University of Alabama
4104,wallara01,http://www.basketball-reference.com/players/w/wallara01.html,Rasheed Wallace,1996,2013,F-C,6-10,225,"September 17, 1974",University of North Carolina
4110,walshma01,http://www.basketball-reference.com/players/w/walshma01.html,Matt Walsh,2006,2006,G-F,6-6,205,"December 2, 1982",University of Florida
4116,waltolu01,http://www.basketball-reference.com/players/w/waltolu01.html,Luke Walton,2004,2013,F,6-8,235,"March 28, 1980",University of Arizona
4122,wareca01,http://www.basketball-reference.com/players/w/wareca01.html,Casper Ware,2014,2014,G,5-10,175,"January 17, 1990","California State University, Long Beach"
4129,warretj01,http://www.basketball-reference.com/players/w/warretj01.html,T.J. Warren,2015,2017,F,6-8,230,"September 5, 1993",North Carolina State University
4130,warrewi01,http://www.basketball-reference.com/players/w/warrewi01.html,Willie Warren,2011,2011,G,6-4,203,"October 22, 1989",University of Oklahoma
4132,warriha01,http://www.basketball-reference.com/players/w/warriha01.html,Hakim Warrick,2006,2013,F,6-9,219,"July 8, 1982",Syracuse University
4135,washida01,http://www.basketball-reference.com/players/w/washida01.html,Darius Washington,2008,2008,G,6-2,195,"December 6, 1985",University of Memphis
4146,watkida01,http://www.basketball-reference.com/players/w/watkida01.html,Darryl Watkins,2008,2012,C,6-11,258,"November 8, 1984",Syracuse University
4148,watsocj01,http://www.basketball-reference.com/players/w/watsocj01.html,C.J. Watson,2008,2017,G,6-2,175,"April 17, 1984",University of Tennessee
4149,watsoea01,http://www.basketball-reference.com/players/w/watsoea01.html,Earl Watson,2002,2014,G,6-1,195,"June 12, 1979","University of California, Los Angeles"
4154,waynsma01,http://www.basketball-reference.com/players/w/waynsma01.html,Maalik Wayns,2013,2014,G,6-2,200,"May 2, 1991",Villanova University
4155,wearda01,http://www.basketball-reference.com/players/w/wearda01.html,David Wear,2015,2015,F,6-10,230,"September 21, 1990","University of California, Los Angeles"
4156,weartr01,http://www.basketball-reference.com/players/w/weartr01.html,Travis Wear,2015,2015,F,6-10,230,"September 21, 1990","University of California, Los Angeles"
4159,weaveky01,http://www.basketball-reference.com/players/w/weaveky01.html,Kyle Weaver,2009,2011,G,6-6,201,"February 18, 1986",Washington State University
4163,webbech01,http://www.basketball-reference.com/players/w/webbech01.html,Chris Webber,1994,2008,F-C,6-9,245,"March 1, 1973",University of Michigan
4168,webstma02,http://www.basketball-reference.com/players/w/webstma02.html,Martell Webster,2006,2015,G-F,6-7,230,"December 4, 1986",
4171,weemsso01,http://www.basketball-reference.com/players/w/weemsso01.html,Sonny Weems,2009,2016,G-F,6-6,205,"July 8, 1986",University of Arkansas
4176,wellsbo01,http://www.basketball-reference.com/players/w/wellsbo01.html,Bonzi Wells,1999,2008,G-F,6-5,210,"September 28, 1976",Ball State University
4181,welscji01,http://www.basketball-reference.com/players/w/welscji01.html,Jiri Welsch,2003,2006,G,6-7,208,"January 27, 1980",
4186,wesleda01,http://www.basketball-reference.com/players/w/wesleda01.html,David Wesley,1994,2007,G,6-0,190,"November 14, 1970",Baylor University
4188,westda01,http://www.basketball-reference.com/players/w/westda01.html,David West,2004,2017,F,6-9,250,"August 29, 1980",Xavier University
4189,westde01,http://www.basketball-reference.com/players/w/westde01.html,Delonte West,2005,2012,G,6-4,180,"July 26, 1983",Saint Joseph's University
4192,westma02,http://www.basketball-reference.com/players/w/westma02.html,Mario West,2008,2011,G,6-5,210,"June 19, 1984",Georgia Institute of Technology
4196,westbru01,http://www.basketball-reference.com/players/w/westbru01.html,Russell Westbrook,2009,2017,G,6-3,200,"November 12, 1988","University of California, Los Angeles"
4199,whalero01,http://www.basketball-reference.com/players/w/whalero01.html,Robert Whaley,2006,2006,C,6-10,260,"April 16, 1982",Walsh University
4205,whitedj01,http://www.basketball-reference.com/players/w/whitedj01.html,D.J. White,2009,2014,F,6-9,251,"August 31, 1986",Indiana University
4210,whiteja02,http://www.basketball-reference.com/players/w/whiteja02.html,James White,2007,2013,G-F,6-7,200,"October 21, 1982",University of Cincinnati
4216,whitero03,http://www.basketball-reference.com/players/w/whitero03.html,Royce White,2014,2014,F,6-8,270,"April 10, 1991",Iowa State University
4223,whiteha01,http://www.basketball-reference.com/players/w/whiteha01.html,Hassan Whiteside,2011,2017,C,7-0,265,"June 13, 1989",Marshall University
4228,whittsh01,http://www.basketball-reference.com/players/w/whittsh01.html,Shayne Whittington,2015,2016,F-C,6-11,250,"March 27, 1991",Western Michigan University
4233,wiggian01,http://www.basketball-reference.com/players/w/wiggian01.html,Andrew Wiggins,2015,2017,F-G,6-8,199,"February 23, 1995",University of Kansas
4236,wilcocj01,http://www.basketball-reference.com/players/w/wilcocj01.html,C.J. Wilcox,2015,2017,G,6-5,195,"December 30, 1990",University of Washington
4237,wilcoch01,http://www.basketball-reference.com/players/w/wilcoch01.html,Chris Wilcox,2003,2013,F,6-10,221,"September 3, 1982",University of Maryland
4247,wilkida02,http://www.basketball-reference.com/players/w/wilkida02.html,Damien Wilkins,2005,2013,F-G,6-6,225,"January 11, 1980",University of Georgia
4253,wilksmi01,http://www.basketball-reference.com/players/w/wilksmi01.html,Mike Wilks,2003,2010,G,5-10,185,"May 7, 1979",Rice University
4254,williaa01,http://www.basketball-reference.com/players/w/williaa01.html,Aaron Williams,1994,2008,F-C,6-9,220,"October 2, 1971",Xavier University
4257,willial02,http://www.basketball-reference.com/players/w/willial02.html,Alvin Williams,1998,2007,G,6-5,185,"August 6, 1974",Villanova University
4268,willide01,http://www.basketball-reference.com/players/w/willide01.html,Deron Williams,2006,2017,G,6-3,200,"June 26, 1984",University of Illinois at Urbana-Champaign
4269,willide02,http://www.basketball-reference.com/players/w/willide02.html,Derrick Williams,2012,2017,F,6-8,240,"May 25, 1991",University of Arizona
4272,williel01,http://www.basketball-reference.com/players/w/williel01.html,Elliot Williams,2012,2016,G,6-5,190,"June 20, 1989",University of Memphis
4273,willier01,http://www.basketball-reference.com/players/w/willier01.html,Eric Williams,1996,2007,F,6-8,220,"July 17, 1972",Providence College
4283,willija02,http://www.basketball-reference.com/players/w/willija02.html,Jason Williams,1999,2011,G,6-1,190,"November 18, 1975",University of Florida
4284,willija04,http://www.basketball-reference.com/players/w/willija04.html,Jawad Williams,2009,2011,F,6-9,218,"February 19, 1983",University of North Carolina
4289,willijo03,http://www.basketball-reference.com/players/w/willijo03.html,Jordan Williams,2012,2012,F,6-10,260,"October 11, 1990",University of Maryland
4290,williju01,http://www.basketball-reference.com/players/w/williju01.html,Justin Williams,2007,2008,F,6-10,225,"May 12, 1984",University of Wyoming
4294,willilo02,http://www.basketball-reference.com/players/w/willilo02.html,Lou Williams,2006,2017,G,6-1,175,"October 27, 1986",
4295,willima03,http://www.basketball-reference.com/players/w/willima03.html,Marcus Williams,2007,2010,G,6-3,205,"December 3, 1985",University of Connecticut
4296,willima04,http://www.basketball-reference.com/players/w/willima04.html,Marcus Williams,2008,2009,F,6-7,205,"November 18, 1986",University of Arizona
4297,willima02,http://www.basketball-reference.com/players/w/willima02.html,Marvin Williams,2006,2017,F,6-9,237,"June 19, 1986",University of North Carolina
4301,willima01,http://www.basketball-reference.com/players/w/willima01.html,Mo Williams,2004,2016,G,6-1,198,"December 19, 1982",University of Alabama
4307,willire02,http://www.basketball-reference.com/players/w/willire02.html,Reggie Williams,2010,2017,F,6-6,205,"September 14, 1986",Virginia Military Institute
4314,willise01,http://www.basketball-reference.com/players/w/willise01.html,Sean Williams,2008,2012,C-F,6-10,235,"September 13, 1986",Boston College
4315,willish01,http://www.basketball-reference.com/players/w/willish01.html,Shammond Williams,1999,2007,G,6-1,201,"April 5, 1975",University of North Carolina
4316,willish03,http://www.basketball-reference.com/players/w/willish03.html,Shawne Williams,2007,2015,F,6-9,225,"February 16, 1986",University of Memphis
4317,willish02,http://www.basketball-reference.com/players/w/willish02.html,Shelden Williams,2007,2012,F,6-9,250,"October 21, 1983",Duke University
4319,willite01,http://www.basketball-reference.com/players/w/willite01.html,Terrence Williams,2010,2013,F,6-6,220,"June 28, 1987",University of Louisville
4325,willico02,http://www.basketball-reference.com/players/w/willico02.html,Corliss Williamson,1996,2007,F,6-7,245,"December 4, 1973",University of Arkansas
4328,willike02,http://www.basketball-reference.com/players/w/willike02.html,Kevin Willis,1985,2007,F-C,7-0,220,"September 6, 1962",Michigan State University
4362,witheje01,http://www.basketball-reference.com/players/w/witheje01.html,Jeff Withey,2014,2017,C,7-0,231,"March 7, 1990",University of Kansas
4370,woltena01,http://www.basketball-reference.com/players/w/woltena01.html,Nate Wolters,2014,2015,G,6-4,190,"May 15, 1991",South Dakota State University
4377,woodslo01,http://www.basketball-reference.com/players/w/woodslo01.html,Loren Woods,2002,2008,F-C,7-1,245,"June 21, 1978",University of Arizona
4378,woodsqy01,http://www.basketball-reference.com/players/w/woodsqy01.html,Qyntel Woods,2003,2006,F,6-8,221,"February 16, 1981",Northeast Mississippi Community College
4387,artesro01,http://www.basketball-reference.com/players/a/artesro01.html,Metta World Peace,2000,2017,F,6-6,260,"November 13, 1979",St. John's University
4391,wrighan01,http://www.basketball-reference.com/players/w/wrighan01.html,Antoine Wright,2006,2011,G-F,6-7,210,"February 6, 1984",Texas A&M University
4392,wrighbr02,http://www.basketball-reference.com/players/w/wrighbr02.html,Bracey Wright,2006,2007,G,6-3,210,"July 1, 1984",Indiana University
4394,wrighbr03,http://www.basketball-reference.com/players/w/wrighbr03.html,Brandan Wright,2008,2017,F-C,6-10,210,"October 5, 1987",University of North Carolina
4395,wrighch01,http://www.basketball-reference.com/players/w/wrighch01.html,Chris Wright,2012,2014,F,6-8,226,"September 30, 1988",University of Dayton
4396,wrighch02,http://www.basketball-reference.com/players/w/wrighch02.html,Chris Wright,2013,2013,G,6-1,210,"November 4, 1989",Georgetown University
4398,wrighdo01,http://www.basketball-reference.com/players/w/wrighdo01.html,Dorell Wright,2005,2015,F-G,6-9,205,"December 2, 1985",
4402,wrighju01,http://www.basketball-reference.com/players/w/wrighju01.html,Julian Wright,2008,2011,F,6-8,225,"May 20, 1987",University of Kansas
4406,wrighlo02,http://www.basketball-reference.com/players/w/wrighlo02.html,Lorenzen Wright,1997,2009,F-C,6-11,225,"November 4, 1975",University of Memphis
4409,wroteto01,http://www.basketball-reference.com/players/w/wroteto01.html,Tony Wroten,2013,2016,G,6-6,205,"April 13, 1993",University of Washington
4419,youngja01,http://www.basketball-reference.com/players/y/youngja01.html,James Young,2015,2017,G-F,6-6,215,"August 16, 1995",University of Kentucky
4423,youngni01,http://www.basketball-reference.com/players/y/youngni01.html,Nick Young,2008,2017,G-F,6-7,210,"June 1, 1985",University of Southern California
4425,youngsa01,http://www.basketball-reference.com/players/y/youngsa01.html,Sam Young,2010,2013,F,6-6,220,"June 1, 1985",University of Pittsburgh
4426,youngth01,http://www.basketball-reference.com/players/y/youngth01.html,Thaddeus Young,2008,2017,F,6-8,221,"June 21, 1988",Georgia Institute of Technology
4428,yuesu01,http://www.basketball-reference.com/players/y/yuesu01.html,Sun Yue,2009,2009,G,6-9,205,"November 6, 1985",
4431,zelleco01,http://www.basketball-reference.com/players/z/zelleco01.html,Cody Zeller,2014,2017,F-C,7-0,240,"October 5, 1992",Indiana University
4435,zellelu01,http://www.basketball-reference.com/players/z/zellelu01.html,Luke Zeller,2013,2013,C,6-11,245,"April 7, 1987",University of Notre Dame
4436,zellety01,http://www.basketball-reference.com/players/z/zellety01.html,Tyler Zeller,2013,2017,F-C,7-0,253,"January 17, 1990",University of North Carolina
4441,zimmede01,http://www.basketball-reference.com/players/z/zimmede01.html,Derrick Zimmerman,2006,2006,G,6-3,195,"December 2, 1981",Mississippi State University
